Entidad,Distrito,Municipio,Superficie Sembrada (ha),Superficie Cosechada (ha) ,Superficie Siniestrada (ha) ,Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción
San Luis Potosí,Rioverde,Lagunillas,670,645,0,12287.25,19.05,3155.85,38776.72
San Luis Potosí,Ciudad Fernández,Ciudad Fernández,4233,4000,0,50040,12.51,2005.83,100371.73
San Luis Potosí,Ciudad Fernández,Rioverde,1445,1350,0,16321.5,12.09,2036.51,33238.9
San Luis Potosí,Ciudad Fernández,San Ciro de Acosta,5,5,0,44.95,8.99,1750,78.66
San Luis Potosí,Ciudad Valles,Aquismón,283,281.5,0,2385.7,8.47,2864.16,6833.03
San Luis Potosí,Ciudad Valles,Tancanhuitz,842,842,0,6146.6,7.3,3085.89,18967.73
San Luis Potosí,Ciudad Valles,Ciudad Valles,304,304,0,7696.37,25.32,3204.5,24663.02
San Luis Potosí,Ciudad Valles,Coxcatlán,2808.5,2806.5,0,20206.8,7.2,3182.21,64302.28
San Luis Potosí,Ciudad Valles,Huehuetlán,456.5,456.5,0,4176.98,9.15,3303.4,13798.24
San Luis Potosí,Ciudad Valles,San Antonio,382,381,0,2758.44,7.24,3145.65,8677.09
San Luis Potosí,Ciudad Valles,San Martín Chalchicuautla,1917.5,1913,0,18153.84,9.49,3338.12,60599.64
San Luis Potosí,Ciudad Valles,Tamasopo,4.5,4.5,0,36.9,8.2,2890,106.64
San Luis Potosí,Ciudad Valles,Tamazunchale,4250.5,4248,0,39075,9.2,3284.13,128327.4
San Luis Potosí,Ciudad Valles,Tampacán,2828,2823,0,26253.9,9.3,3321.11,87192.09
San Luis Potosí,Ciudad Valles,Tampamolón Corona,1191,1189.5,0,9525.9,8.01,3132.44,29839.34
San Luis Potosí,Ciudad Valles,Tanlajás,332,331,0,2389.82,7.22,3068.01,7331.99
San Luis Potosí,Ciudad Valles,Tanquián de Escobedo,2036,2034,0,14885.64,7.32,3150.05,46890.53
San Luis Potosí,Ciudad Valles,Axtla de Terrazas,4706.5,4705.5,0,46842.11,9.95,3265.99,152985.66
San Luis Potosí,Ciudad Valles,Xilitla,374,369,0,3398.86,9.21,3138.1,10665.96
San Luis Potosí,Ciudad Valles,Matlapa,2650,2645,0,24651.4,9.32,3232.91,79695.76
San Luis Potosí,Ciudad Valles,El Naranjo,29.5,29.5,0,228.51,7.75,3089.98,706.09
San Luis Potosí,Ebano,Ebano,115,115,0,2534.94,22.04,2197.27,5569.95
San Luis Potosí,Ebano,San Vicente Tancuayalab,507,484,0,7834.51,16.19,2160.93,16929.81
San Luis Potosí,Ebano,Tamuín,492,396,0,7324.07,18.5,2030.91,14874.56
